target,n,T,alpha,kernel,gap,ess_per_step,ess_per_step_se,ess_per_sec,accept_rate,split_rhat,gated_out,D3_width
chain,6,0.1,0.3,walk_g3,2.2990179426862767e-08,0.20039082429378802,0.17879808471376152,31852.307895077975,0.9914080000000001,3.0094752134070744,True,11.90006392296144
chain,6,0.1,0.3,walk_g10,2.162126144789056e-09,0.20081985538543706,0.17870236148403884,31697.629635287292,0.9974919999999999,3.6948051396025408,True,11.90006392296144
chain,6,0.1,0.5,single_flip,nan,0.40602389688843915,0.1464756703378839,70350.56683399645,4.000000000000001e-05,69.64059131717835,True,10.241932316991697
chain,6,0.1,0.5,uniform,nan,0.008401942020747075,0.0018756074870215217,1441.0818139632531,0.0158,1.0034507981251977,False,10.241932316991697
chain,6,0.1,0.5,walk_g0,0.0008264834451806591,0.020520465549719685,0.010955769834844168,3191.3005898620963,0.611548,1.0899540483314778,True,10.241932316991697
chain,6,0.1,0.5,walk_g0.03,0.0004321153514812437,0.023213275152518163,0.009688364612083411,3560.441995743361,0.6378280000000001,1.0279521775296605,False,10.241932316991697
chain,6,0.1,0.5,walk_g0.1,0.0001373098800130368,0.02824875723740943,0.009685033007274397,4430.184277096423,0.6921440000000001,1.0390412010560692,False,10.241932316991697
chain,6,0.1,0.5,walk_g0.3,2.3038272104258795e-05,0.06074270012318158,0.034508862003742785,9549.07717980065,0.796108,3.4729616449772314,True,10.241932316991697
chain,6,0.1,0.5,walk_g1,2.53739365663197e-06,0.2511085355803232,0.16862337065673183,39757.32523952282,0.914256,20.956643923914505,True,10.241932316991697
chain,6,0.1,0.5,walk_g3,3.1546562140327694e-07,0.25396825357847364,0.16876360329742382,37233.52479099176,0.9682639999999999,13.203979913132663,True,10.241932316991697
chain,6,0.1,0.5,walk_g10,2.990296987803731e-08,0.22239233014793797,0.17467504526403885,35416.949967370034,0.989888,7.8633441373645585,True,10.241932316991697
chain,6,0.3,0.05,single_flip,nan,0.00018523455062916883,3.2037314990618283e-05,31.470075256721884,0.007759999999999999,1.1473922610749423,True,15.234327978711748
chain,6,0.3,0.05,uniform,nan,0.011134644600941051,0.0007123596406740647,1850.5502305935654,0.023868,1.0016064080546343,False,15.234327978711748
chain,6,0.3,0.05,walk_g0,8.917588169010671e-07,0.20075975472095747,0.17871589923311704,30791.613030682252,0.997912,4.257881860335723,True,15.234327978711748
