T,adv_violation_rel,advantage_cell,alpha,cell,class,envelope,ess_per_step_g0,ess_per_step_g0.316,ess_per_step_g31.6,gamma_star_rel,gap_g0,gap_g0.01,gap_g0.0316,gap_g0.1,gap_g0.316,gap_g1,gap_g10,gap_g100,gap_g3.16,gap_g31.6,gap_sf,gap_uf,interior_peak,l1_violated,n,peak_over_envelope
0.5937109948741605,nan,False,0.16659728036138294,10,sk,0.07512148423410592,0.0027995962698424497,0.0014075489379550598,0.0003197603414685446,0.0,0.001687932335262432,0.0016271895255492996,0.0015073800972585927,0.001208239737435779,0.0007039907583208382,0.00028314630127601603,3.07470861505843e-05,3.095770195082892e-06,9.553614777602082e-05,9.773909205867959e-06,0.0057199802897142105,0.07512148423410592,False,False,6,-0.9783392255605815
0.3750273265563447,nan,False,0.37893976577277794,11,e01,0.10451775978811562,,,,0.03162277660168379,0.01078838800806503,0.011013161677634109,0.011257111692533406,0.010816240995776938,0.007503915787371751,0.003237317731029754,0.0003580196803918412,3.608299136770299e-05,0.0011089717705519142,0.00011389537459138843,0.10451775978811562,0.031250379382998905,True,False,5,-0.8922947476548055
0.0932649040078703,nan,False,0.19269218079367267,12,e01,0.020360283568942594,,,,0.0,0.00016232543319216752,0.00014260349188222055,0.00010967854583698866,5.461154514496691e-05,1.333661318803081e-05,1.845847268810985e-06,2.0922998222872025e-08,2.1169321851033374e-10,2.032958763553694e-07,2.1109748393755012e-09,1.491483603288657e-10,0.020360283568942594,False,False,6,-0.9929959967699199
9.754799446402407,nan,False,0.8319966342626842,13,sk,0.8145359442654605,,,,0.1,0.4842584414025105,0.5315901301220124,0.5976899583984641,0.5978206790197713,0.3275426510817253,0.1352015102589934,0.015483239080439137,0.0015710799496012617,0.047315554250293435,0.004950709092066075,0.18610949076466665,0.8145359442654605,True,False,4,-0.26605979364252685
0.30405666046002094,nan,False,0.8109968888882253,14,rfim,0.19761871685494004,,,,0.1,0.059815045391294785,0.062196769439190724,0.06690673772888456,0.0766244553089187,0.07471848298288641,0.04282146253041064,0.0057630764776762655,0.0005945284840789267,0.016915654090012278,0.0018661377938280488,0.19761871685494004,0.03547900830164297,True,False,5,-0.6122611434363068
0.5020846904516721,nan,False,0.24873257371656468,15,sk,0.0733746306687697,,,,0.0,0.009454583647097614,0.008805569585258133,0.0076438485720075056,0.005312407158054255,0.0025924195958790808,0.0009458924855180184,9.857074472907623e-05,9.88669796220254e-06,0.00030919308365950915,3.1242581382207035e-05,0.012714527843082801,0.0733746306687697,False,False,6,-0.8799916332797839
0.18400760694137902,nan,False,0.5050497962904492,16,sk,0.16219025472638438,,,,0.03162277660168379,0.1358740022375845,0.14575433728792853,0.1552420639211186,0.08553603426732181,0.016122457054639994,0.002256182933677353,0.00013636871846856025,1.3260021159422486e-05,0.0004757465669308347,4.2178717952645606e-05,0.0033775275542033967,0.16219025472638438,True,False,4,-0.04283975518126781
0.6258283091865198,nan,False,0.582767049136583,17,rfim,0.11819720267009282,,,,0.0,0.10085055102385354,0.09845249507792342,0.09317879624774394,0.07344644028581127,0.04215056264553829,0.018251473662307283,0.0021480867784196,0.0002185741456486312,0.006520415240961919,0.0006882997740217389,0.11819720267009282,0.055238932178485745,False,False,5,-0.16704885687760318
1.7183136291981909,nan,False,0.5539940245625232,18,rfim,0.07122589532199708,,,,0.0,0.06213816372020031,0.05887459592732569,0.05273427190852065,0.03919246116457831,0.020967456814100394,0.008244345206239845,0.0009041878513352808,9.123791366216771e-05,0.002797454874719829,0.0002878965037511616,0.07122589532199708,0.06159853444266061,False,False,6,-0.1734102370891064
0.08977811109226587,0.0008675038120424737,True,0.8041442090865628,19,sk,0.07944075378589299,,,,0.01,0.07944075378589299,0.07950966894263378,0.07768551823836556,0.018496753890903217,0.001391425018131609,6.145535228352372e-05,9.287053071016516e-08,5.294282789947147e-10,2.3688649131159423e-06,4.911401396689996e-09,8.489725733529241e-08,0.07078989481014752,True,False,5,0.0008675038120424805
